Per-population variables,Older per-population variables,Older pre-multipop variables
populations/vg_rho,populations/rho,
populations/vg_v,populations/V,
populations/vg_rho_thermal,populations/RhoNonBackstream,
populations/vg_rho_nonthermal,populations/RhoBackstream,
populations/vg_v_thermal,populations/VNonBackstream,
populations/vg_v_nonthermal,populations/VBackstream,
populations/vg_effectivesparsitythreshold,populations/EffectiveSparsityThreshold,
populations/vg_rho_loss_adjust,populations/rho_loss_adjust,
populations/vg_energydensity,populations/EnergyDensity,
populations/vg_precipitationdifferentialflux,populations/PrecipitationDiffFlux,
populations/vg_maxdt_acceleration,populations/MaxVdt,
populations/vg_maxdt_translation,populations/MaxRdt,
populations/vg_blocks,populations/Blocks,
populations/vg_acceleration_subcycles,populations/acc_subcycles,
populations/vg_ptensor_diagonal,populations/PTensorDiagonal,
populations/vg_ptensor_offdiagonal,populations/PTensorOffDiagonal,
populations/vg_ptensor_nonthermal_diagonal,populations/PTensorBackstreamDiagonal,
populations/vg_ptensor_nonthermal_offdiagonal,populations/PTensorBackstreamOffDiagonal,
populations/vg_ptensor_thermal_diagonal,populations/PTensorNonBackstreamDiagonal,
populations/vg_ptensor_thermal_offdiagonal,populations/PTensorNonBackstreamOffDiagonal,
